Year,"Number of CPF Members
 (mil)","Number of Active CPF Members
 (mil)","Total Members Balance 
 (S$m)","Ordinary Account (OA) 
 (S$m)","Special Account (SA) 
 (S$m)","MediSave Account (MA) 
 (S$m)","Retirement Account 
 and Others (RA) 
 (S$m)","Total Contributions
 (S$m)","Total Interest
 (S$m)","Base Interest
 (S$m)","Extra Interest
 (S$m)","Public Housing (HDB flats) -  
 No. of Members","Public Housing (HDB flats) -
 Net Amount Withdrawn 
 (S$m)","Public Housing (HDB flats) -
 No. of Members
 (thousands)","Public Housing (HDB flats) -
 Cumulative Amount Withdrawn
 (S$m)","Private Housing -
 No. of Members","Private Housing -
 Net Amount Withdrawn 
 (S$m)","Private Housing -
 No. of Members
 (thousands)","Private Housing -
 Cumulative Amount Withdrawn
 (S$m)","Home Protection Scheme (HPS) - 
 No. of Persons 
 (thousands)","HPS - 
 Amount of Sum Assured
 (S$m)","HPS (Claims Under Death Grounds) - 
 Number","HPS (Claims Under Death Grounds) - 
 Amount
 (S$m)","HPS (Claims Under Incapacity Grounds) - 
 Number","HPS (Claims Under Incapacity Grounds) - 
 Amount
 (S$m)","Monthly Payouts Amount - Retirement Sum Scheme
 (S$m)","Monthly Payouts Amount - 
 CPF LIFE
 (S$m)","Withdrawals for 
 55 Years and Above -
 Net Amount Withdrawn 
 (S$m)",CPF LIFE - No. of members,"CPF LIFE - 
 Fund Amount (S$m)","CareShield Life - 
 No. of active claimants",CareShield Life - Amount Claimed (S$m),"MediSave Account- Net Amount Withdrawn for CareShield Life premiums 
 (S$m)","MediShield Life - 
 No. of Claims","MediShield Life - 
 Amount Claimed 
 (S$m)",MediSave Account - Net Amount Withdrawn for MediShield Life premiums (S$m),"MediSave Account - Net Amount Withdrawn under MediSave Scheme for Approved Medical Expenses  
 (S$m)",MediSave Account - Other Net Amount Withdrawn (S$m),MediSave Account - Net Amount Withdrawn for ElderShield premiums (S$m),"ElderShield - 
 No. of active claimants","ElderShield - 
 Amount Claimed 
 (S$m)","CPFIS-OA - 
 No. of Members
 (thousands)","CPFIS-OA - 
 Total Cost of Current Holdings
 (S$m)","CPFIS-OA - 
 Net Amount Withdrawn from OA for Investment
 (S$m)","CPFIS-SA - 
 No. of Members
 (thousands)","CPFIS-SA - 
 Net Amount withdrawn based on Current Holdings
 (S$m)","CPFIS-SA - 
 Net Amount Withdrawn from SA for Investment
 (S$m)","Other Schemes - 
 Net Amount 
 Withdrawn 
 (S$m)","Account Closure for Foreigners - 
 No. of withdrawals","Account Closure for Foreigners - 
 Net Amount 
 Withdrawn 
 (S$m)","Reduced Life Expectancy - 
 No. of Withdrawals","Reduced Life Expectancy - 
 Net Amount 
 Withdrawn 
 (S$m)","Death - 
 No. of Withdrawals","Death - 
 Net Amount 
 Withdrawn 
 (S$m)",Number of Active Employers
,as at end of period,as at end of period,as at end of period,as at end of period,as at end of period,as at end of period,as at end of period,within period,within period,within period,within period,within period,within period,as at end of period,as at end of period,within period,within period,as at end of period,as at end of period,as at end of period,as at end of period,within period,within period,within period,within period,within period,within period,within period,as at end of period,as at end of period,within period,within period,within period,within period,within period,within period,within period,within period,within period,within period,within period,as at end of period,as at end of period,within period,as at end of period,as at end of period,within period,within period,within period,within period,within period,within period,within period,within period,as at end of period
2006,3.1,1.46,"1,25,803.8","57,742.70","22,758.80","37,268.00","8,034.30","16,547","3,926.80","3,926.80",n.a.,"7,29,580","4,957.60","1,275","78,758.90",n.a.,"3,398.10",227,"45,185.00",671,"82,141.00",827,76.2,307,28.5,240.3,n.a.,"2,357.30",n.a.,n.a.,n.a.,n.a.,n.a.,"1,35,971",115.6,240.7,444.6,311,n.a.,n.a.,n.a.,809,"25,841.40","1,568.80",463,"5,538.60",518.8,-485,"10,479",367.4,572,19.3,"23,358",284.2,"95,563"
2007,3.16,1.54,"1,36,586.9","60,838.60","26,044.60","39,689.50","10,014.20","18,185","4,228.00","4,228.00",n.a.,"7,28,978","4,679.00","1,286","82,827.30",n.a.,"1,188.90",226,"45,860.30",664,"82,494.70",767,63.7,424,48.9,218.9,n.a.,"2,404.30",n.a.,n.a.,n.a.,n.a.,n.a.,"1,58,819",140.4,253.2,517.1,306.4,n.a.,n.a.,n.a.,870,"27,169.20",-0.1,516,"7,024.20","1,402.20",-204.1,"10,848",390.5,608,17.2,"17,075",269,"1,00,926"
2008,3.23,1.61,"1,51,307.1","65,341.10","30,547.30","42,928.20","12,490.50","20,294","5,455.10","4,644.10",811,"7,18,887","4,500.00","1,301","87,037.10",n.a.,"1,347.00",226,"46,956.60",659,"84,258.40",751,65.3,393,47.7,229.7,n.a.,"2,061.30",n.a.,n.a.,n.a.,n.a.,n.a.,"1,76,709",163.9,322.4,558.2,422.4,n.a.,n.a.,n.a.,893,"27,004.80",-191.6,533,"7,661.70",687.8,213.6,"11,130",435.7,542,16.8,"17,258",286,"1,08,279"
2009,3.29,1.64,"1,66,804.0","70,593.80","35,389.20","46,238.00","14,583.00","20,125","6,092.60","5,215.30",877.3,"7,27,853","4,067.90","1,317","90,931.90","1,45,066","1,768.60",237,"48,442.30",651,"87,048.30",693,58.4,425,42.1,265.7,n.a.,"1,800.30",n.a.,n.a.,n.a.,n.a.,n.a.,"2,06,707",219.5,395.8,600.8,479.9,n.a.,n.a.,n.a.,894,"26,150.10",-658.6,519,"7,495.10",-126.9,237.3,"12,255",442.9,657,20.9,"19,802",358.8,"1,14,837"
2010,3.34,1.7,"1,85,888.0","77,939.50","40,392.70","50,671.20","16,884.60","21,993","6,709.80","5,772.30",937.5,"7,39,922","4,006.90","1,331","94,924.80","1,48,205",845.9,243,"48,994.90",641,"90,129.30",714,63.8,341,28.5,298.2,43.7,"1,771.10","64,500","2,551.80",n.a.,n.a.,n.a.,"2,35,883",258.5,409.3,678.2,557.9,n.a.,n.a.,n.a.,895,"25,031.50","-1,140.40",499,"7,162.10",-335.2,218,"13,454",454.6,618,24.9,"18,544",378.3,"1,18,940"
2011,3.38,1.74,"2,07,545.5","85,084.80","46,533.70","55,329.30","20,597.70","24,628","7,472.70","6,471.50","1,001.20","7,49,989","5,464.30","1,368","1,00,344.6","1,53,893","1,346.70",255,"49,994.90",631,"84,196.20",709,59.4,373,31.7,344,85.6,"1,940.10","73,100","3,027.50",n.a.,n.a.,n.a.,"2,62,009",291.4,429.8,721.7,640.6,n.a.,n.a.,n.a.,896,"23,876.70","-1,487.50",467,"6,586.70",-650.2,247,"14,619",505.5,655,29.2,"19,869",434.6,"1,23,263"
2012,3.42,1.79,"2,30,157.7","91,862.00","53,191.90","60,024.40","25,079.30","26,048","8,290.60","7,199.60","1,091.00","7,52,740","5,703.10","1,415","1,05,993.7","1,64,704","2,290.60",273,"51,911.90",616,"85,690.50",678,57.8,396,32,370.2,100.5,"2,048.20","78,300","3,350.30",n.a.,n.a.,n.a.,"2,83,259",327.1,446.7,767.4,626.4,n.a.,n.a.,n.a.,896,"22,244.20","-1,731.30",441,"6,165.40",-431.8,261.4,"15,038",541.5,836,34.5,"18,472",487.9,"1,28,373"
2013,3.51,1.85,"2,52,968.6","98,336.20","60,142.60","65,576.00","28,913.80","28,530","9,144.20","8,028.80","1,115.40","7,42,813","5,841.30","1,455","1,12,017.4","1,73,105","2,500.20",290,"54,486.50",603,"86,092.30",609,53.1,384,30.7,398.4,120.4,"2,819.60","1,05,200","4,878.00",n.a.,n.a.,n.a.,"2,89,880",344.6,817.6,798.5,765.1,n.a.,n.a.,n.a.,899,"21,033.00","-1,505.40",415,"5,794.50",-410.1,217.7,"13,868",579.8,732,37.2,"18,800",530.4,"1,35,889"
2014,3.59,1.95,"2,75,363.9","1,04,411.3","67,151.90","71,236.80","32,563.90","29,722","9,971.90","8,814.00","1,157.90","7,33,637","6,892.30","1,466","1,19,017.6","1,77,360","2,706.00",301,"57,175.90",603,"88,022.60",613,55,355,30.4,457.1,159.3,"2,945.80","1,40,900","7,027.70",n.a.,n.a.,n.a.,"3,14,929",389.9,766.5,852.9,882.3,n.a.,n.a.,n.a.,904,"19,891.50","-1,483.60",391,"5,481.10",-381,283.4,"14,081",665.6,976,47.5,"19,395",606.8,"1,62,062"
