SORA Value Date,,,SORA Publication Date,SORA,SORA Index
,,8,09 Jun 2010,0.2977,0.9616215283
,,9,10 Jun 2010,0.2856,0.9616290526
,,10,11 Jun 2010,0.1104,0.9616319612
,,11,14 Jun 2010,0.0683,0.9616373595
,,14,15 Jun 2010,0.0672,0.96163913
,,15,16 Jun 2010,0.0539,0.9616405501
,,16,17 Jun 2010,0.0565,0.9616420386
,,17,18 Jun 2010,0.075,0.9616440146
,,18,21 Jun 2010,0.1437,0.9616553725
,,21,22 Jun 2010,0.0518,0.9616567373
,,22,23 Jun 2010,0.0515,0.9616580942
,,23,24 Jun 2010,0.0414,0.9616591849
,,24,25 Jun 2010,0.0792,0.9616612716
,,25,28 Jun 2010,0.2177,0.9616784787
,,28,29 Jun 2010,0.1382,0.9616821199
,,29,30 Jun 2010,0.092,0.9616845439
,,30,01 Jul 2010,0.092,0.9616869679
,Jul,1,02 Jul 2010,0.0524,0.9616883485
,,2,05 Jul 2010,0.0586,0.9616929804
,,5,06 Jul 2010,0.0611,0.9616945903
,,6,07 Jul 2010,0.0726,0.9616965031
,,7,08 Jul 2010,0.0947,0.9616989983
,,8,09 Jul 2010,0.1109,0.9617019202
,,9,12 Jul 2010,0.1634,0.961714836
,,12,13 Jul 2010,0.1573,0.9617189806
,,13,14 Jul 2010,0.1061,0.9617217762
,,14,15 Jul 2010,0.1005,0.9617244242
,,15,16 Jul 2010,0.1298,0.9617278443
,,16,19 Jul 2010,0.1835,0.9617423492
,,19,20 Jul 2010,0.136,0.9617459327
,,20,21 Jul 2010,0.1132,0.9617489154
,,21,22 Jul 2010,0.1182,0.9617520299
,,22,23 Jul 2010,0.1117,0.9617549732
,,23,26 Jul 2010,0.1205,0.9617644985
,,26,27 Jul 2010,0.0839,0.9617667092
,,27,28 Jul 2010,0.0966,0.9617692546
,,28,29 Jul 2010,0.127,0.961772601
,,29,30 Jul 2010,0.1666,0.9617769909
,,30,02 Aug 2010,0.1828,0.9617914413
,Aug,2,03 Aug 2010,0.1122,0.9617943978
,,3,04 Aug 2010,0.0758,0.9617963952
,,4,05 Aug 2010,0.0408,0.9617974703
,,5,06 Aug 2010,0.051,0.9617988142
,,6,10 Aug 2010,0.1041,0.9618097866
,,10,11 Aug 2010,0.0992,0.9618124006
,,11,12 Aug 2010,0.0698,0.9618142399
,,12,13 Aug 2010,0.089,0.9618165852
,,13,16 Aug 2010,0.0817,0.9618230438
,,16,17 Aug 2010,0.0858,0.9618253048
,,17,18 Aug 2010,0.1096,0.9618281929
,,18,19 Aug 2010,0.099,0.9618308017
,,19,20 Aug 2010,0.1297,0.9618342195
,,20,23 Aug 2010,0.1107,0.9618429708
,,23,24 Aug 2010,0.1299,0.9618463939
,,24,25 Aug 2010,0.1091,0.9618492689
,,25,26 Aug 2010,0.1253,0.9618525709
,,26,27 Aug 2010,0.1582,0.9618567398
,,27,30 Aug 2010,0.1459,0.9618682741
,,30,31 Aug 2010,0.1426,0.961872032
,,31,01 Sep 2010,0.1459,0.9618758769
,Sep,1,02 Sep 2010,0.0923,0.9618783092
,,2,03 Sep 2010,0.1191,0.9618814478
,,3,06 Sep 2010,0.0874,0.9618883576
,,6,07 Sep 2010,0.0653,0.9618900784
,,7,08 Sep 2010,0.0992,0.9618926927
,,8,09 Sep 2010,0.0799,0.9618947983
,,9,13 Sep 2010,0.0648,0.9619016291
,,13,14 Sep 2010,0.1019,0.9619043145
,,14,15 Sep 2010,0.0986,0.9619069129
,,15,16 Sep 2010,0.1043,0.9619096616
,,16,17 Sep 2010,0.1291,0.9619130639
,,17,20 Sep 2010,0.183,0.9619275321
,,20,21 Sep 2010,0.1559,0.9619316407
,,21,22 Sep 2010,0.2194,0.9619374229
,,22,23 Sep 2010,0.2374,0.9619436794
,,23,24 Sep 2010,0.1282,0.9619470581
,,24,27 Sep 2010,0.0876,0.9619539841
,,27,28 Sep 2010,0.0872,0.9619562822
,,28,29 Sep 2010,0.0695,0.9619581139
,,29,30 Sep 2010,0.0771,0.9619601459
,,30,01 Oct 2010,0.1147,0.9619631688
,Oct,1,04 Oct 2010,0.0777,0.9619693122
,,4,05 Oct 2010,0.0466,0.9619705403
,,5,06 Oct 2010,0.049,0.9619718318
,,6,07 Oct 2010,0.044,0.9619729914
,,7,08 Oct 2010,0.0463,0.9619742117
,,8,11 Oct 2010,0.0478,0.961977991
,,11,12 Oct 2010,0.0521,0.9619793641
,,12,13 Oct 2010,0.0556,0.9619808295
,,13,14 Oct 2010,0.0527,0.9619822185
,,14,15 Oct 2010,0.0478,0.9619834783
,,15,18 Oct 2010,0.1499,0.9619953304
,,18,19 Oct 2010,0.2076,0.9620008019
,,19,20 Oct 2010,0.1192,0.9620039436
,,20,21 Oct 2010,0.1098,0.9620068375
,,21,22 Oct 2010,0.0859,0.9620091015
,,22,25 Oct 2010,0.0764,0.9620151424
,,25,26 Oct 2010,0.0652,0.9620168609
,,26,27 Oct 2010,0.0804,0.9620189799
,,27,28 Oct 2010,0.0777,0.9620210279
,,28,29 Oct 2010,0.0722,0.9620229308
,,29,01 Nov 2010,0.0688,0.9620283709
,Nov,1,02 Nov 2010,0.0768,0.9620303951
,,2,03 Nov 2010,0.0531,0.9620317946
,,3,04 Nov 2010,0.0353,0.962032725
,,4,08 Nov 2010,0.0982,0.9620430781
,,8,09 Nov 2010,0.0965,0.9620456216
,,9,10 Nov 2010,0.0846,0.9620478514
,,10,11 Nov 2010,0.0973,0.962050416
,,11,12 Nov 2010,0.048,0.9620516811
,,12,15 Nov 2010,0.0721,0.9620573823
,,15,16 Nov 2010,0.0882,0.962059707
,,16,18 Nov 2010,0.0624,0.9620629965
,,18,19 Nov 2010,0.0663,0.962064744
,,19,22 Nov 2010,0.0573,0.962069275
,,22,23 Nov 2010,0.0643,0.9620709698
,,23,24 Nov 2010,0.0827,0.9620731496
,,24,25 Nov 2010,0.0769,0.9620751765
,,25,26 Nov 2010,0.1237,0.962078437
,,26,29 Nov 2010,0.1507,0.9620903536
,,29,30 Nov 2010,0.2091,0.9620958652
,,30,01 Dec 2010,0.153,0.9620998981
,Dec,1,02 Dec 2010,0.0588,0.962101448
,,2,03 Dec 2010,0.0676,0.9621032299
,,3,06 Dec 2010,0.0649,0.962108362
,,6,07 Dec 2010,0.0608,0.9621099646
,,7,08 Dec 2010,0.0612,0.9621115778
,,8,09 Dec 2010,0.065,0.9621132912
,,9,10 Dec 2010,0.0731,0.962115218
,,10,13 Dec 2010,0.0985,0.9621230072
,,13,14 Dec 2010,0.0734,0.962124942
,,14,15 Dec 2010,0.0698,0.9621267819
,,15,16 Dec 2010,0.0501,0.9621281025
,,16,17 Dec 2010,0.0638,0.9621297843
,,17,20 Dec 2010,0.0392,0.9621328842
,,20,21 Dec 2010,0.0497,0.9621341942
,,21,22 Dec 2010,0.0439,0.9621353514
,,22,23 Dec 2010,0.0407,0.9621364243
,,23,24 Dec 2010,0.0415,0.9621375182
,,24,27 Dec 2010,0.0633,0.962142524
,,27,28 Dec 2010,0.0811,0.9621446618
,,28,29 Dec 2010,0.0774,0.962146702
,,29,30 Dec 2010,0.0483,0.9621479752
,,30,31 Dec 2010,0.0728,0.9621498943
,,31,03 Jan 2011,0.1181,0.9621592337
,,,,,
,,,,,
SORA Value Date,,,SORA Publication Date,SORA,SORA Index
2011,Jan,3,04 Jan 2011,0.1319,0.9621627107
,,4,05 Jan 2011,0.085,0.9621649513
,,5,06 Jan 2011,0.0778,0.9621670022
,,6,07 Jan 2011,0.0746,0.9621689687
,,7,10 Jan 2011,0.0709,0.9621745756
,,10,11 Jan 2011,0.0741,0.962176529
,,11,12 Jan 2011,0.0451,0.9621777179
,,12,13 Jan 2011,0.0251,0.9621783795
,,13,14 Jan 2011,0.038,0.9621793812
,,14,17 Jan 2011,0.0365,0.9621822678
,,17,18 Jan 2011,0.0303,0.9621830665
,,18,19 Jan 2011,0.0367,0.962184034
,,19,20 Jan 2011,0.0238,0.9621846614
,,20,21 Jan 2011,0.0421,0.9621857712
,,21,24 Jan 2011,0.0446,0.9621892983
,,24,25 Jan 2011,0.0407,0.9621903712
,,25,26 Jan 2011,0.0313,0.9621911963
,,26,27 Jan 2011,0.0519,0.9621925645
,,27,28 Jan 2011,0.0991,0.9621951769
,,28,31 Jan 2011,0.1396,0.9622062171
,,31,01 Feb 2011,0.2185,0.9622119772
,Feb,1,02 Feb 2011,0.1825,0.9622167882
,,2,07 Feb 2011,0.2194,0.9622457075
,,7,08 Feb 2011,0.0685,0.9622475133
,,8,09 Feb 2011,0.0509,0.9622488552
,,9,10 Feb 2011,0.0246,0.9622495037
,,10,11 Feb 2011,0.0237,0.9622501285
,,11,14 Feb 2011,0.0265,0.9622522244
,,14,15 Feb 2011,0.027,0.9622529362
,,15,16 Feb 2011,0.0468,0.96225417
,,16,17 Feb 2011,0.043,0.9622553036
,,17,18 Feb 2011,0.04,0.9622563581
,,18,21 Feb 2011,0.0495,0.962260273
,,21,22 Feb 2011,0.054,0.9622616967
,,22,23 Feb 2011,0.0553,0.9622631546
,,23,24 Feb 2011,0.0291,0.9622639217
,,24,25 Feb 2011,0.0494,0.9622652241
,,25,28 Feb 2011,0.0816,0.9622716779
,,28,01 Mar 2011,0.0707,0.9622735418
,Mar,1,02 Mar 2011,0.0568,0.9622750392
,,2,03 Mar 2011,0.0293,0.9622758117
,,3,04 Mar 2011,0.0211,0.9622763679
,,4,07 Mar 2011,0.023,0.962278187
,,7,08 Mar 2011,0.0225,0.9622787802
,,8,09 Mar 2011,0.0219,0.9622793576
,,9,10 Mar 2011,0.0171,0.9622798084
,,10,11 Mar 2011,0.0164,0.9622802408
,,11,14 Mar 2011,0.0197,0.9622817989
,,14,15 Mar 2011,0.0158,0.9622822154
,,15,16 Mar 2011,0.012,0.9622825318
,,16,17 Mar 2011,0.011,0.9622828218
,,17,18 Mar 2011,0.0154,0.9622832278
,,18,21 Mar 2011,0.0159,0.9622844854
,,21,22 Mar 2011,0.0153,0.9622848887
,,22,23 Mar 2011,0.0143,0.9622852657
,,23,24 Mar 2011,0.0121,0.9622855847
,,24,25 Mar 2011,0.0216,0.9622861542
,,25,28 Mar 2011,0.0247,0.9622881078
,,28,29 Mar 2011,0.0429,0.9622892388
,,29,30 Mar 2011,0.0564,0.9622907257
,,30,31 Mar 2011,0.0961,0.9622932593
,,31,01 Apr 2011,0.1574,0.9622974091
,Apr,1,04 Apr 2011,0.1363,0.9623081894
,,4,05 Apr 2011,0.096,0.9623107204
,,5,06 Apr 2011,0.0397,0.9623117671
,,6,07 Apr 2011,0.0208,0.9623123155
,,7,08 Apr 2011,0.0285,0.9623130669
,,8,11 Apr 2011,0.019,0.9623145697
,,11,12 Apr 2011,0.018,0.9623150442
,,12,13 Apr 2011,0.0181,0.9623155214
,,13,14 Apr 2011,0.0156,0.9623159327
,,14,15 Apr 2011,0.0142,0.9623163071
,,15,18 Apr 2011,0.0225,0.9623180867
,,18,19 Apr 2011,0.0276,0.9623188144
,,19,20 Apr 2011,0.0745,0.9623207786
,,20,21 Apr 2011,0.1159,0.9623238343
,,21,25 Apr 2011,0.0824,0.9623325242
,,25,26 Apr 2011,0.0745,0.9623344884
,,26,27 Apr 2011,0.136,0.9623380741
,,27,28 Apr 2011,0.1873,0.9623430124
,,28,29 Apr 2011,0.1251,0.9623463107
,,29,03 May 2011,0.1239,0.9623593775
,May,3,04 May 2011,0.0814,0.9623615237
,,4,05 May 2011,0.055,0.9623629738
,,5,06 May 2011,0.0246,0.9623636224
,,6,09 May 2011,0.0322,0.9623661694
,,9,10 May 2011,0.0499,0.9623674851
,,10,11 May 2011,0.1037,0.9623702193
,,11,12 May 2011,0.1049,0.9623729851
,,12,13 May 2011,0.0511,0.9623743324
,,13,16 May 2011,0.0825,0.9623808581
,,16,18 May 2011,0.0415,0.9623830465
,,18,19 May 2011,0.0444,0.9623842172
,,19,20 May 2011,0.0321,0.9623850636
,,20,23 May 2011,0.0313,0.9623875394
,,23,24 May 2011,0.0295,0.9623883172
,,24,25 May 2011,0.049,0.9623896092
,,25,26 May 2011,0.1147,0.9623926335
,,26,27 May 2011,0.129,0.9623960348
,,27,30 May 2011,0.0934,0.9624034228
,,30,31 May 2011,0.0816,0.9624055744
,,31,01 Jun 2011,0.0884,0.9624079053
,Jun,1,02 Jun 2011,0.0678,0.962409693
,,2,03 Jun 2011,0.0618,0.9624113225
,,3,06 Jun 2011,0.0636,0.9624163534
,,6,07 Jun 2011,0.0609,0.9624179592
,,7,08 Jun 2011,0.0212,0.9624185182
,,8,09 Jun 2011,0.0357,0.9624194595
,,9,10 Jun 2011,0.0286,0.9624202136
,,10,13 Jun 2011,0.0209,0.9624218669
,,13,14 Jun 2011,0.0268,0.9624225735
,,14,15 Jun 2011,0.0374,0.9624235597
,,15,16 Jun 2011,0.0351,0.9624244852
,,16,17 Jun 2011,0.0535,0.9624258959
,,17,20 Jun 2011,0.0672,0.9624312116
,,20,21 Jun 2011,0.0781,0.962433271
,,21,22 Jun 2011,0.0443,0.9624344391
,,22,23 Jun 2011,0.036,0.9624353883
,,23,24 Jun 2011,0.0313,0.9624362136
,,24,27 Jun 2011,0.0409,0.962439449
,,27,28 Jun 2011,0.0419,0.9624405538
,,28,29 Jun 2011,0.0843,0.9624427767
,,29,30 Jun 2011,0.0437,0.962443929
,,30,01 Jul 2011,0.0728,0.9624458486
,Jul,1,04 Jul 2011,0.0405,0.9624490523
,,4,05 Jul 2011,0.0296,0.9624498328
,,5,06 Jul 2011,0.0332,0.9624507083
,,6,07 Jul 2011,0.0575,0.9624522245
,,7,08 Jul 2011,0.0544,0.9624536589
,,8,11 Jul 2011,0.0332,0.9624562852
,,11,12 Jul 2011,0.0385,0.9624573004
,,12,13 Jul 2011,0.0249,0.962457957
,,13,14 Jul 2011,0.0394,0.9624589959
,,14,15 Jul 2011,0.0471,0.9624602379
,,15,18 Jul 2011,0.0554,0.9624646204
,,18,19 Jul 2011,0.0557,0.9624660891
,,19,20 Jul 2011,0.0471,0.9624673311
,,20,21 Jul 2011,0.0318,0.9624681696
,,21,22 Jul 2011,0.0525,0.962469554
,,22,25 Jul 2011,0.0402,0.9624727341
,,25,26 Jul 2011,0.0234,0.9624733512
,,26,27 Jul 2011,0.0308,0.9624741633
,,27,28 Jul 2011,0.0244,0.9624748067
,,28,29 Jul 2011,0.0123,0.9624751311
,,29,01 Aug 2011,0.0207,0.9624767686
,Aug,1,02 Aug 2011,0.0324,0.962477623
,,2,03 Aug 2011,0.0319,0.9624784641
,,3,04 Aug 2011,0.0723,0.9624803706
,,4,05 Aug 2011,0.043,0.9624815045
,,5,08 Aug 2011,0.0391,0.9624845976
,,8,10 Aug 2011,0.0588,0.9624876987
,,10,11 Aug 2011,0.031,0.9624885161
,,11,12 Aug 2011,0.0054,0.9624886585
,,12,15 Aug 2011,0.0186,0.96249013
,,15,16 Aug 2011,0.0215,0.9624906969
,,16,17 Aug 2011,0.0375,0.9624916858
,,17,18 Aug 2011,0.0811,0.9624938243
,,18,19 Aug 2011,0.1,0.9624964613
,,19,22 Aug 2011,0.0694,0.9625019515
,,22,23 Aug 2011,0.109,0.9625048258
,,23,24 Aug 2011,0.1017,0.9625075076
,,24,25 Aug 2011,0.079,0.9625095909
,,25,26 Aug 2011,0.0367,0.9625105587
,,26,29 Aug 2011,0.0433,0.9625139842
,,29,31 Aug 2011,0.0262,0.962515366
,,31,01 Sep 2011,0.0559,0.9625168401
,Sep,1,02 Sep 2011,0.0304,0.9625176417
,,2,05 Sep 2011,0.0422,0.9625209802
,,5,06 Sep 2011,0.0294,0.9625217555
,,6,07 Sep 2011,0.0363,0.9625227127
,,7,08 Sep 2011,0.0399,0.9625237649
,,8,09 Sep 2011,0.0501,0.9625250861
,,9,12 Sep 2011,0.0547,0.9625294135
,,12,13 Sep 2011,0.0697,0.9625312515
,,13,14 Sep 2011,0.0561,0.9625327309
,,14,15 Sep 2011,0.0613,0.9625343474
,,15,16 Sep 2011,0.0772,0.9625363833
,,16,19 Sep 2011,0.0614,0.9625412408
,,19,20 Sep 2011,0.0373,0.9625422244
,,20,21 Sep 2011,0.069,0.962544044
,,21,22 Sep 2011,0.0527,0.9625454338
,,22,23 Sep 2011,0.0596,0.9625470055
,,23,26 Sep 2011,0.0848,0.9625537143
,,26,27 Sep 2011,0.0731,0.9625556421
,,27,28 Sep 2011,0.0692,0.962557467
,,28,29 Sep 2011,0.0308,0.9625582792
,,29,30 Sep 2011,0.0204,0.9625588172
,,30,03 Oct 2011,0.0476,0.962562583
,Oct,3,04 Oct 2011,0.0736,0.962564524
,,4,05 Oct 2011,0.0483,0.9625657977
,,5,06 Oct 2011,0.0477,0.9625670557
,,6,07 Oct 2011,0.0288,0.9625678152
,,7,10 Oct 2011,0.0221,0.9625695636
,,10,11 Oct 2011,0.0227,0.9625701622
,,11,12 Oct 2011,0.0287,0.9625709191
,,12,13 Oct 2011,0.0285,0.9625716707
,,13,14 Oct 2011,0.03,0.9625724619
,,14,17 Oct 2011,0.0448,0.9625760062
,,17,18 Oct 2011,0.0941,0.9625784878
,,18,19 Oct 2011,0.0602,0.9625800754
,,19,20 Oct 2011,0.0741,0.9625820296
,,20,21 Oct 2011,0.0664,0.9625837807
,,21,24 Oct 2011,0.0611,0.9625886147
,,24,25 Oct 2011,0.0535,0.9625900256
,,25,27 Oct 2011,0.0602,0.9625932009
,,27,28 Oct 2011,0.0547,0.9625946434
,,28,31 Oct 2011,0.0495,0.9625985598
,,31,01 Nov 2011,0.0844,0.9626007856
,Nov,1,02 Nov 2011,0.0867,0.9626030721
,,2,03 Nov 2011,0.1044,0.9626058254
,,3,04 Nov 2011,0.0468,0.9626070597
,,4,08 Nov 2011,0.0205,0.9626092222
,,8,09 Nov 2011,0.0328,0.9626100873
,,9,10 Nov 2011,0.0265,0.9626107861
,,10,11 Nov 2011,0.0431,0.9626119228
,,11,14 Nov 2011,0.0396,0.9626150559
,,14,15 Nov 2011,0.0227,0.9626156546
,,15,16 Nov 2011,0.0232,0.9626162664
,,16,17 Nov 2011,0.0361,0.9626172185
,,17,18 Nov 2011,0.0571,0.9626187244
,,18,21 Nov 2011,0.1046,0.9626270003
,,21,22 Nov 2011,0.1846,0.9626318688
,,22,23 Nov 2011,0.2282,0.9626378872
,,23,24 Nov 2011,0.0828,0.962640071
,,24,25 Nov 2011,0.0379,0.9626410705
,,25,28 Nov 2011,0.0586,0.962645707
,,28,29 Nov 2011,0.0452,0.9626468991
,,29,30 Nov 2011,0.0726,0.9626488139
,,30,01 Dec 2011,0.0424,0.9626499321
,Dec,1,02 Dec 2011,0.0268,0.962650639
,,2,05 Dec 2011,0.0222,0.9626523955
,,5,06 Dec 2011,0.0272,0.9626531128
,,6,07 Dec 2011,0.0311,0.9626539331
,,7,08 Dec 2011,0.0499,0.9626552491
,,8,09 Dec 2011,0.0444,0.9626564202
,,9,12 Dec 2011,0.0792,0.9626626866
,,12,13 Dec 2011,0.0588,0.9626642375
,,13,14 Dec 2011,0.0617,0.9626658648
,,14,15 Dec 2011,0.1281,0.9626692433
,,15,16 Dec 2011,0.0716,0.9626711317
,,16,19 Dec 2011,0.0377,0.9626741147
,,19,20 Dec 2011,0.0291,0.9626748822
,,20,21 Dec 2011,0.0367,0.9626758501
,,21,22 Dec 2011,0.0319,0.9626766915
,,22,23 Dec 2011,0.0407,0.9626777649
,,23,27 Dec 2011,0.0341,0.9626813625
,,27,28 Dec 2011,0.0523,0.9626827419
,,28,29 Dec 2011,0.0345,0.9626836518
,,29,30 Dec 2011,0.048,0.9626849178
,,30,03 Jan 2012,0.1011,0.9626955838
,,,,,
,,,,,
SORA Value Date,,,SORA Publication Date,SORA,SORA Index
2012,Jan,3,04 Jan 2012,0.0275,0.9626963091
,,4,05 Jan 2012,0.0362,0.9626972639
,,5,06 Jan 2012,0.0705,0.9626991234
,,6,09 Jan 2012,0.0931,0.96270649
,,9,10 Jan 2012,0.0443,0.9627076584
,,10,11 Jan 2012,0.0382,0.962708666
,,11,12 Jan 2012,0.031,0.9627094836
,,12,13 Jan 2012,0.0226,0.9627100797
,,13,16 Jan 2012,0.0309,0.9627125247
,,16,17 Jan 2012,0.0301,0.9627133186
,,17,18 Jan 2012,0.0405,0.9627143869
,,18,19 Jan 2012,0.0378,0.9627153839
,,19,20 Jan 2012,0.061,0.9627169928
,,20,25 Jan 2012,0.1179,0.9627325413
,,25,26 Jan 2012,0.1191,0.9627356827
,,26,27 Jan 2012,0.1212,0.9627388795
,,27,30 Jan 2012,0.0653,0.9627440467
,,30,31 Jan 2012,0.0945,0.9627465393
,,31,01 Feb 2012,0.0937,0.9627490108
,Feb,1,02 Feb 2012,0.0864,0.9627512897
,,2,03 Feb 2012,0.0913,0.9627536979
,,3,06 Feb 2012,0.026,0.9627557553
,,6,07 Feb 2012,0.0306,0.9627565624
,,7,08 Feb 2012,0.0252,0.9627572271
,,8,09 Feb 2012,0.0413,0.9627583165
,,9,10 Feb 2012,0.0294,0.962759092
,,10,13 Feb 2012,0.0381,0.9627621069
,,13,14 Feb 2012,0.0228,0.9627627082
,,14,15 Feb 2012,0.0465,0.9627639348
,,15,16 Feb 2012,0.0407,0.9627650083
,,16,17 Feb 2012,0.0444,0.9627661795
,,17,20 Feb 2012,0.0216,0.9627678887
,,20,21 Feb 2012,0.017,0.9627683371
,,21,22 Feb 2012,0.031,0.9627691548
,,22,23 Feb 2012,0.0238,0.9627697826
,,23,24 Feb 2012,0.0251,0.9627704447
,,24,27 Feb 2012,0.0232,0.9627722805
,,27,28 Feb 2012,0.0234,0.9627728978
,,28,29 Feb 2012,0.0368,0.9627738684
,,29,01 Mar 2012,0.0517,0.9627752322
,Mar,1,02 Mar 2012,0.052,0.9627766038
,,2,05 Mar 2012,0.058,0.9627811935
,,5,06 Mar 2012,0.0609,0.9627827998
,,6,07 Mar 2012,0.0313,0.9627836255
,,7,08 Mar 2012,0.0375,0.9627846146
,,8,09 Mar 2012,0.0338,0.9627855062
,,9,12 Mar 2012,0.0314,0.962787991
,,12,13 Mar 2012,0.0273,0.9627887111
,,13,14 Mar 2012,0.0349,0.9627896317
,,14,15 Mar 2012,0.0374,0.9627906182
,,15,16 Mar 2012,0.0476,0.9627918738
,,16,19 Mar 2012,0.0646,0.9627969858
,,19,20 Mar 2012,0.0935,0.9627994522
,,20,21 Mar 2012,0.0564,0.9628009399
,,21,22 Mar 2012,0.0427,0.9628020662
,,22,23 Mar 2012,0.0263,0.96280276
,,23,26 Mar 2012,0.0216,0.9628044693
,,26,27 Mar 2012,0.0253,0.9628051366
,,27,28 Mar 2012,0.0317,0.9628059728
,,28,29 Mar 2012,0.0603,0.9628075634
,,29,30 Mar 2012,0.0426,0.9628086872
,,30,02 Apr 2012,0.0367,0.9628115914
,Apr,2,03 Apr 2012,0.0386,0.9628126096
,,3,04 Apr 2012,0.02,0.9628131372
,,4,05 Apr 2012,0.0301,0.9628139312
,,5,09 Apr 2012,0.0206,0.9628161048
,,9,10 Apr 2012,0.0308,0.9628169172
,,10,11 Apr 2012,0.0183,0.9628173999
,,11,12 Apr 2012,0.0235,0.9628180198
,,12,13 Apr 2012,0.0248,0.962818674
,,13,16 Apr 2012,0.0292,0.9628209848
,,16,17 Apr 2012,0.024,0.9628216179
,,17,18 Apr 2012,0.0227,0.9628222167
,,18,19 Apr 2012,0.033,0.9628230872
,,19,20 Apr 2012,0.0258,0.9628237677
,,20,23 Apr 2012,0.0196,0.9628253188
,,23,24 Apr 2012,0.0266,0.9628260205
,,24,25 Apr 2012,0.0271,0.9628267354
,,25,26 Apr 2012,0.0428,0.9628278644
,,26,27 Apr 2012,0.0482,0.9628291358
,,27,30 Apr 2012,0.051,0.9628331718
,,30,02 May 2012,0.0779,0.9628372816
,May,2,03 May 2012,0.0873,0.9628395845
,,3,04 May 2012,0.0912,0.9628419903
,,4,07 May 2012,0.1657,0.9628551034
,,7,08 May 2012,0.1077,0.9628579445
,,8,09 May 2012,0.0577,0.9628594666
,,9,10 May 2012,0.0271,0.9628601815
,,10,11 May 2012,0.0298,0.9628609676
,,11,14 May 2012,0.0467,0.9628646634
,,14,15 May 2012,0.0615,0.9628662858
,,15,16 May 2012,0.0576,0.9628678053
,,16,17 May 2012,0.043,0.9628689396
,,17,18 May 2012,0.0336,0.962869826
,,18,21 May 2012,0.0439,0.9628733002
,,21,22 May 2012,0.0257,0.9628739782
,,22,23 May 2012,0.0375,0.9628749674
,,23,24 May 2012,0.0342,0.9628758696
,,24,25 May 2012,0.0385,0.9628768853
,,25,28 May 2012,0.0465,0.9628805653
,,28,29 May 2012,0.037,0.9628815414
,,29,30 May 2012,0.0504,0.962882871
,,30,31 May 2012,0.0444,0.9628840422
,,31,01 Jun 2012,0.0482,0.9628853138
,Jun,1,04 Jun 2012,0.0319,0.9628878384
,,4,05 Jun 2012,0.0278,0.9628885718
,,5,06 Jun 2012,0.0568,0.9628900702
,,6,07 Jun 2012,0.0705,0.96289193
,,7,08 Jun 2012,0.0556,0.9628933968
,,8,11 Jun 2012,0.0645,0.9628985014
,,11,12 Jun 2012,0.047,0.9628997413
,,12,13 Jun 2012,0.0386,0.9629007596
,,13,14 Jun 2012,0.0686,0.9629025693
,,14,15 Jun 2012,0.0549,0.9629040177
,,15,18 Jun 2012,0.0595,0.9629087267
,,18,19 Jun 2012,0.0353,0.9629096579
,,19,20 Jun 2012,0.0767,0.9629116813
,,20,21 Jun 2012,0.0969,0.9629142377
,,21,22 Jun 2012,0.057,0.9629157414
,,22,25 Jun 2012,0.0552,0.9629201101
,,25,26 Jun 2012,0.0371,0.9629210889
,,26,27 Jun 2012,0.0278,0.9629218223
,,27,28 Jun 2012,0.042,0.9629229303
,,28,29 Jun 2012,0.0317,0.9629237666
,,29,02 Jul 2012,0.0517,0.9629278584
,Jul,2,03 Jul 2012,0.0292,0.9629286287
,,3,04 Jul 2012,0.0194,0.9629291405
,,4,05 Jul 2012,0.0259,0.9629298238
,,5,06 Jul 2012,0.0178,0.9629302934
,,6,09 Jul 2012,0.0497,0.9629342269
,,9,10 Jul 2012,0.0218,0.962934802
,,10,11 Jul 2012,0.0285,0.9629355539
,,11,12 Jul 2012,0.0406,0.962936625
,,12,13 Jul 2012,0.0229,0.9629372291
,,13,16 Jul 2012,0.0366,0.9629401259
,,16,17 Jul 2012,0.0278,0.9629408593
,,17,18 Jul 2012,0.0402,0.9629419198
,,18,19 Jul 2012,0.0336,0.9629428063
,,19,20 Jul 2012,0.067,0.9629445739
,,20,23 Jul 2012,0.0575,0.9629491248
,,23,24 Jul 2012,0.049,0.9629504175
,,24,25 Jul 2012,0.1025,0.9629531217
,,25,26 Jul 2012,0.0878,0.962955438
,,26,27 Jul 2012,0.0837,0.9629576462
,,27,30 Jul 2012,0.1271,0.9629677058
,,30,31 Jul 2012,0.1419,0.9629714495
,,31,01 Aug 2012,0.1474,0.9629753384
,Aug,1,02 Aug 2012,0.0852,0.9629775862
,,2,03 Aug 2012,0.0384,0.9629785993
,,3,06 Aug 2012,0.0448,0.9629821452
,,6,07 Aug 2012,0.0526,0.9629835329
,,7,08 Aug 2012,0.0524,0.9629849154
,,8,10 Aug 2012,0.0892,0.9629896221
,,10,13 Aug 2012,0.0667,0.9629949014
,,13,14 Aug 2012,0.0817,0.962997057
,,14,15 Aug 2012,0.0854,0.9629993101
,,15,16 Aug 2012,0.1453,0.9630031436
,,16,17 Aug 2012,0.1062,0.9630059456
,,17,21 Aug 2012,0.0628,0.9630125732
,,21,22 Aug 2012,0.0839,0.9630147868
,,22,23 Aug 2012,0.0597,0.9630163619
,,23,24 Aug 2012,0.0993,0.9630189818
,,24,27 Aug 2012,0.0934,0.9630263747
,,27,28 Aug 2012,0.069,0.9630281952
,,28,29 Aug 2012,0.036,0.963029145
